last fall found
last fall found
last fall found
last fall found
last fall found
rise found
ball is located in between: 220 and -304
angle is -42
rise found
ball is located in between: 220 and -306
angle is -43
rise found
ball is located in between: 220 and -309
angle is -44
rise found
ball is located in between: 220 and -311
angle is -45
rise found
ball is located in between: 220 and -314
angle is -47
NEW_IMAGE:
16 227
16 227
25 3
24 227
17 3
17 3
17 3
25 36
25 3
17 3
25 35
25 4
25 4
25 4
25 4
25 4
17 36
17 36
17 36
17 35
25 36
25 3
25 3
25 3
33 3
25 4
25 36
33 36
33 36
25 36
25 35
25 68
17 68
17 68
25 36
25 37
25 36
25 36
25 36
25 36
33 68
25 36
25 36
25 4
33 36
33 36
33 36
25 36
33 68
25 36
25 36
25 36
17 36
17 68
25 68
25 36
25 36
25 68
25 36
33 36
33 36
33 4
33 36
33 35
33 35
25 35
25 36
25 36
25 36
25 36
33 36
25 35
33 35
33 36
33 35
25 67
25 36
33 36
33 4
33 4
33 4
33 4
33 4
33 4
33 4
33 4
33 4
33 3
25 3
33 3
33 3
25 35
33 36
24 227
33 4
25 4
25 3
25 3
24 227
24 195
24 195
24 196
16 195
16 129
16 130
16 130
16 130
16 130
16 129
16 129
16 129
16 129
16 161
8 161
8 194
16 162
16 162
16 162
16 162
16 162
16 163
16 163
24 195
24 194
24 194
16 194
16 195
16 194
16 194
16 194
24 195
24 227
24 195
24 195
24 227
24 226
24 227
24 227
24 227
24 227
33 4
24 227
24 227
24 227
24 227
33 3
24 227
33 4
33 3
25 3
25 4
33 5
25 4
25 4
33 4
25 3
33 35
25 35
25 35
33 35
25 35
33 35
25 35
33 4
33 4
33 4
33 36
33 36
33 36
33 36
41 68
41 68
33 68
41 69
41 69
41 69
41 69
41 101
41 101
41 101
41 101
41 134
41 134
41 134
41 166
41 167
49 166
49 231
41 200
49 200
58 8
49 231
49 232
57 232
66 40
66 41
66 73
74 106
82 73
74 73
66 170
74 235
82 204
83 12
83 12
91 12
91 12
99 77
99 77
99 109
99 141
107 109
107 110
99 110
107 207
115 207
115 239
124 16
123 240
124 16
115 240
124 17
116 49
124 49
124 49
124 49
132 81
132 81
132 81
132 113
132 113
132 82
132 81
148 148
155 242
138 204
137 235
137 169
129 73
137 105
145 73
145 72
145 104
137 40
137 72
145 40
145 40
145 41
145 40
145 40
145 40
145 72
145 40
145 72
137 72
145 72
145 73
145 72
145 73
145 73
145 105
145 73
145 105
145 73
145 73
145 105
145 137
137 136
137 137
145 137
145 105
145 105
145 105
145 105
145 137
145 138
145 138
145 105
145 105
137 136
137 104
137 104
137 104
129 104
129 168
129 136
137 136
137 136
137 136
137 137
137 137
137 137
137 169
129 169
129 202
137 169
129 136
129 136
129 136
129 104
129 72
129 72
129 72
121 39
121 104
121 71
121 71
121 71
121 71
121 39
121 39
121 38
121 39
121 39
113 38
113 38
113 7
121 7
121 7
120 230
120 198
120 231
112 198
112 230
104 198
112 230
112 198
112 166
112 166
112 166
104 198
96 165
104 198
104 165
104 165
104 165
104 165
104 165
104 165
104 165
104 165
112 133
112 133
112 133
104 133
96 165
96 164
96 165
96 197
96 197
88 164
88 165
96 133
96 133
96 133
96 133
96 132
96 132
88 132
88 132
88 132
88 132
88 100
88 100
88 68
88 68
88 100
88 99
88 99
80 99
80 99
80 99
72 131
72 99
80 100
80 100
72 100
72 100
72 99
72 99
80 99
80 99
72 99
80 99
80 99
72 99
72 99
72 67
64 99
72 67
72 67
72 67
72 66
72 66
72 66
72 66
72 98
64 98
64 98
64 98
64 98
64 98
64 98
64 99
64 67
64 67
64 67
56 67
56 99
56 67
48 99
48 66
48 98
48 98
48 98
56 66
56 66
56 66
56 67
56 67
56 99
56 132
48 131
48 131
48 163
56 131
56 131
48 163
40 227
40 196
48 164
40 228
48 230
40 229
48 231
57 170
74 107
83 14
99 110
107 240
115 207
124 16
123 240
132 49
124 48
124 81
124 81
124 48
124 48
124 48
124 48
124 48
124 16
116 48
124 81
116 81
116 81
116 49
116 81
116 49
116 49
116 49
116 49
124 49
116 49
124 48
124 16
124 48
124 48
124 16
116 48
116 48
116 16
116 16
124 16
116 16
116 16
116 16
116 49
116 16
124 49
115 240
124 16
116 16
116 16
116 16
116 16
116 17
116 49
116 16
116 16
116 16
116 16
115 240
115 240
115 240
115 240
115 240
115 239
115 240
107 239
107 239
107 239
107 240
107 240
107 240
107 240
107 239
107 240
107 208
107 207
107 207
107 207
107 207
107 207
115 240
107 239
107 239
99 207
99 207
99 174
99 207
99 175
99 208
99 207
99 208
99 207
99 206
99 207
99 174
107 174
107 142
99 142
107 174
99 142
107 142
107 142
107 142
107 174
99 142
99 174
99 174
99 142
99 174
99 142
99 142
99 142
91 141
91 142
91 141
91 142
91 110
91 142
91 142
91 142
91 142
91 142
91 109
99 109
91 109
91 142
91 142
91 110
91 109
91 77
91 109
91 109
91 110
91 109
91 77
91 110
83 110
91 109
91 77
91 77
83 77
83 77
83 77
75 109
75 109
83 109
83 77
83 77
83 77
83 77
83 77
83 77
83 77
83 77
83 77
83 77
83 77
83 45
83 77
83 44
83 44
83 44
83 44
91 44
83 44
75 45
75 45
67 45
75 45
83 77
75 45
83 44
91 12
75 12
67 44
75 44
83 12
83 12
75 12
75 12
75 12
75 12
74 236
74 235
74 236
75 12
74 236
74 236
74 235
74 235
66 236
66 236
59 12
66 236
67 45
67 11
59 11
51 12
58 236
58 236
66 171
66 203
58 203
58 203
58 235
END_IMAGE:
ball ball found
