last fall found
last fall found
last fall found
rise found
rise found
rise found
rise found
last fall found
last fall found
last fall found
last fall found
NEW_IMAGE:
49 134
41 134
49 166
49 134
49 134
41 134
49 166
41 134
49 134
49 166
49 166
49 166
49 166
49 166
49 166
49 166
49 166
49 198
41 199
41 198
41 198
41 198
41 198
49 199
49 166
57 167
57 199
49 199
49 199
49 199
49 231
57 199
57 199
57 199
57 199
49 199
49 231
49 232
50 8
49 231
49 231
49 232
50 7
49 231
49 199
49 231
49 232
49 232
49 232
49 232
50 8
42 7
50 7
50 8
57 232
57 232
57 232
49 232
58 8
49 231
50 9
49 233
49 232
58 9
58 8
57 232
58 8
57 232
66 8
58 8
50 40
49 232
58 8
58 8
58 8
58 8
58 40
58 40
58 40
66 40
66 40
66 40
66 40
66 40
66 41
66 40
66 40
66 41
66 40
66 40
66 40
66 73
58 73
58 41
66 73
58 73
66 105
66 73
66 72
66 105
58 73
66 73
66 41
66 41
66 41
66 8
74 73
66 40
66 73
74 105
66 40
74 73
74 73
66 73
74 73
66 73
74 106
66 74
66 73
66 73
66 73
66 73
66 73
74 73
74 73
66 41
66 73
74 106
66 105
74 73
74 74
74 74
74 73
74 73
74 106
74 73
74 106
74 106
74 105
66 105
66 105
66 138
74 105
74 105
74 105
74 105
74 105
74 105
74 138
74 105
74 106
74 106
74 106
74 106
74 106
74 105
74 106
82 107
82 138
82 139
74 106
74 106
74 138
82 138
82 138
82 139
74 138
74 138
82 138
74 138
82 138
74 138
74 138
82 170
82 170
82 170
82 170
82 170
82 170
82 170
82 138
82 138
82 138
82 170
82 170
82 138
82 170
74 139
82 204
82 139
82 139
82 107
82 171
82 139
90 203
82 171
90 203
82 171
82 203
82 203
82 203
74 203
82 204
82 171
90 203
82 203
82 203
82 203
90 235
82 204
82 204
82 203
82 203
82 204
82 203
82 203
90 203
91 12
90 236
90 235
90 236
90 203
90 236
90 203
90 203
90 236
90 203
90 236
90 204
98 236
98 236
90 235
90 235
98 236
90 236
91 12
91 12
90 235
99 12
91 12
99 44
91 12
91 44
91 12
91 12
99 44
91 44
91 12
99 77
99 12
99 12
99 45
99 45
99 12
99 12
91 12
91 45
91 45
99 45
99 44
99 44
99 44
91 44
99 45
99 45
99 45
91 45
99 45
99 77
91 12
99 77
99 45
99 78
99 45
99 45
107 46
107 46
107 78
99 78
99 77
99 77
99 77
99 77
99 77
99 110
99 77
99 78
99 45
99 45
99 45
99 45
99 77
99 110
99 46
99 79
99 46
99 110
99 77
99 77
99 77
99 110
99 110
99 110
99 79
99 78
99 78
99 46
99 77
99 78
91 77
91 77
99 78
107 142
99 78
99 78
99 78
99 79
99 79
99 78
99 46
99 77
107 142
99 78
91 78
99 78
99 46
99 45
91 78
99 78
107 111
99 79
99 47
99 79
99 79
99 46
99 79
99 47
99 47
99 47
99 79
99 79
99 111
99 78
91 78
91 78
83 45
91 110
99 78
99 78
99 78
99 78
99 78
99 78
99 78
99 78
99 46
99 46
91 45
99 78
99 110
99 111
99 78
99 79
99 79
99 47
99 47
99 47
99 15
107 47
99 46
91 47
91 47
91 47
91 79
91 78
91 46
91 46
99 78
99 46
99 46
91 46
91 46
91 14
99 47
99 47
91 47
83 47
91 80
91 49
91 49
91 145
91 179
107 210
116 18
107 209
116 19
115 210
107 79
107 143
115 208
107 175
99 175
107 175
107 110
107 142
107 111
115 110
107 109
107 109
107 109
99 109
99 44
99 77
107 77
107 77
107 109
107 109
107 109
99 11
90 202
90 235
90 236
90 204
90 204
90 205
90 205
90 205
90 205
90 236
90 204
90 236
91 45
90 236
90 237
98 237
90 236
90 236
90 237
90 237
90 237
98 237
90 237
83 13
90 237
90 237
74 237
83 45
83 14
82 238
83 13
74 237
90 237
90 237
90 205
90 237
82 237
82 236
82 236
82 236
82 236
74 204
82 236
82 203
90 235
106 202
82 6
57 101
41 36
41 36
33 4
33 3
33 36
41 36
41 36
41 36
41 36
41 68
41 69
41 69
33 69
41 133
49 166
49 134
49 134
49 166
41 134
49 134
41 133
49 166
49 134
49 166
49 166
49 166
49 166
49 134
49 166
49 198
49 134
49 166
49 166
41 134
41 134
49 133
49 133
41 101
49 101
49 101
49 101
49 101
41 100
41 67
33 99
33 68
33 36
33 4
33 4
41 5
33 5
25 38
25 72
33 135
33 38
41 69
41 69
41 72
33 106
34 11
50 174
58 238
67 79
75 78
83 111
75 77
83 77
83 45
83 45
83 45
83 45
91 12
82 203
82 168
82 37
57 132
49 99
33 35
25 3
25 3
24 226
33 3
32 227
24 194
33 2
33 2
32 226
32 226
24 226
32 227
32 226
32 226
32 227
32 227
32 227
33 3
32 226
32 226
32 226
32 226
32 226
32 226
32 226
33 2
32 227
32 226
32 226
32 226
32 194
32 226
32 226
32 226
32 227
32 227
32 227
32 226
24 227
24 227
33 3
24 226
32 226
32 226
32 227
32 227
32 227
32 227
32 226
32 226
32 226
32 227
24 226
24 226
25 2
24 226
24 226
32 226
32 226
32 226
32 226
32 226
24 226
32 227
32 227
32 194
32 227
32 226
32 194
32 226
32 227
32 195
32 227
32 227
24 194
32 227
24 227
24 227
24 227
24 227
24 195
24 226
24 226
32 227
24 195
32 195
24 194
32 195
32 194
24 226
24 194
24 226
25 2
24 227
24 194
END_IMAGE:
NEW_IMAGE:
49 34
49 2
49 2
49 67
49 66
49 66
49 66
49 66
49 66
49 34
49 66
49 34
49 34
49 35
49 34
49 66
49 66
49 34
49 34
49 34
49 33
49 33
49 66
49 66
49 34
49 34
49 34
49 2
57 34
57 34
57 34
57 2
57 2
49 1
57 33
49 33
49 65
57 97
49 65
49 65
49 98
49 66
57 99
57 99
57 99
57 67
57 67
57 99
49 67
57 99
57 66
57 66
57 34
57 34
57 34
57 34
57 33
57 33
57 33
57 1
57 34
65 3
65 2
57 2
57 2
57 34
49 34
49 66
49 66
49 66
57 34
57 2
57 2
57 2
57 34
57 34
57 34
57 34
57 34
57 34
57 34
57 1
57 1
57 33
57 33
57 34
57 34
57 34
49 34
57 34
57 2
57 33
57 33
57 33
57 34
49 34
49 66
57 33
57 33
65 66
57 33
57 33
49 33
49 65
49 33
57 65
57 33
57 34
57 34
57 34
57 34
57 2
57 34
57 34
57 34
57 34
57 34
57 34
57 2
57 35
57 35
57 34
57 34
57 34
57 34
57 34
57 66
57 34
65 66
57 34
57 66
57 34
65 33
57 34
57 34
57 66
57 34
57 34
57 34
57 35
57 67
65 67
65 35
57 66
57 67
57 67
57 99
57 66
57 66
57 66
57 67
65 99
57 34
57 34
57 34
57 35
57 35
65 68
65 34
57 66
49 66
57 34
57 33
65 99
57 34
57 34
57 2
56 226
56 226
56 227
57 1
49 1
48 225
49 1
40 225
49 1
40 226
41 2
56 224
48 161
48 225
48 225
40 161
40 193
40 193
40 193
40 193
40 194
48 129
40 129
40 161
40 161
40 129
40 128
40 128
40 161
40 161
48 96
64 65
48 161
32 194
40 227
40 227
40 227
41 3
49 69
41 69
41 69
49 134
57 198
49 199
57 166
74 7
74 40
74 40
74 72
82 105
98 202
90 170
90 138
98 138
98 138
90 138
90 137
98 104
98 137
98 201
90 201
90 202
90 170
82 137
82 170
82 170
82 137
82 170
82 170
82 170
82 170
82 170
90 171
82 138
82 106
82 105
74 73
74 105
82 170
74 105
74 105
74 105
82 105
82 105
82 105
74 105
82 169
82 137
66 40
74 105
74 105
74 105
74 72
74 40
74 40
90 40
82 72
82 72
74 40
82 40
82 72
82 72
74 6
74 6
74 39
82 39
82 39
82 39
82 8
82 40
82 39
82 40
74 41
82 138
90 171
90 171
90 203
90 171
90 203
98 171
106 236
98 203
107 12
99 12
107 12
115 77
115 45
115 45
107 76
107 45
107 78
107 46
107 77
107 77
99 77
99 77
91 77
91 110
99 45
107 45
99 45
99 46
91 45
91 78
107 78
107 46
99 13
99 77
99 45
107 45
107 46
107 77
107 77
99 44
99 45
99 45
99 46
107 46
99 46
99 46
99 46
99 46
107 78
99 46
107 46
107 14
107 14
107 46
99 46
99 79
99 46
99 79
99 46
99 46
99 45
99 77
107 77
99 45
99 45
107 45
99 45
107 77
107 45
99 13
99 46
99 46
99 46
99 46
99 45
99 78
99 78
99 77
99 77
107 77
107 46
107 46
99 14
107 46
107 46
107 14
107 46
99 46
107 78
99 45
99 45
99 45
99 78
99 45
99 45
99 77
99 45
99 45
99 78
99 77
99 78
99 45
99 46
99 46
99 14
99 46
99 46
99 46
99 45
99 13
99 13
99 13
99 45
99 45
99 45
107 45
99 45
99 45
99 45
99 45
99 45
107 46
107 46
99 13
99 46
99 46
99 46
99 78
99 46
99 45
99 45
99 45
99 13
107 78
99 14
107 14
99 14
99 14
99 45
99 45
107 78
99 77
107 78
99 14
99 13
107 14
99 46
99 14
99 45
99 13
99 45
99 45
99 77
99 45
99 45
99 45
99 45
99 45
99 45
99 45
99 13
99 13
99 13
99 13
99 13
99 13
99 13
99 13
91 12
99 13
99 12
99 12
99 13
99 13
99 13
99 45
99 45
91 45
99 77
91 13
91 13
99 13
99 13
99 13
91 13
99 13
99 13
99 13
99 13
99 13
99 13
98 237
98 236
98 237
98 237
98 237
98 237
98 237
98 237
98 237
99 13
90 237
90 237
90 237
90 205
90 237
90 237
90 237
90 236
90 236
90 236
90 236
90 237
90 237
90 237
90 236
90 236
90 236
90 236
90 236
82 236
82 236
90 236
90 204
90 236
90 204
90 204
98 236
90 204
90 236
90 237
82 237
82 237
90 237
90 237
90 205
90 237
90 205
90 204
82 204
82 204
82 204
90 204
90 204
90 204
82 236
82 236
82 237
82 237
82 204
82 172
90 204
82 204
82 204
82 204
82 204
82 204
82 172
82 172
82 204
82 172
90 204
82 172
82 172
82 204
82 172
82 173
82 172
82 171
82 171
82 139
82 171
82 171
82 171
82 171
82 171
82 171
82 171
82 139
82 171
82 171
82 171
82 138
82 171
82 171
82 139
82 139
82 171
82 140
82 172
82 139
82 172
82 140
74 140
74 140
82 140
74 107
74 139
74 171
74 171
74 139
74 140
74 140
74 140
74 107
82 107
82 139
82 139
82 139
82 171
74 139
74 139
74 139
74 139
74 139
74 107
74 107
74 107
74 107
74 107
74 139
66 107
66 107
66 139
66 139
66 107
66 107
66 107
74 106
74 106
74 107
74 106
66 107
66 107
66 107
66 106
66 107
66 107
66 107
74 107
74 75
74 75
74 74
74 42
74 75
74 75
66 74
66 107
58 74
66 106
66 106
66 106
66 106
74 74
74 74
74 42
66 43
58 75
58 75
END_IMAGE:
NEW_IMAGE:
41 68
41 68
41 69
41 69
41 101
49 69
49 68
49 101
49 101
49 101
49 101
41 101
41 101
41 101
49 101
49 100
41 68
49 132
49 100
49 101
49 100
49 133
49 132
49 133
49 133
49 100
49 133
57 134
57 133
57 134
49 134
49 101
57 101
57 101
57 133
57 101
57 133
57 133
57 134
49 133
49 133
57 165
49 133
57 133
57 133
57 165
57 133
57 165
57 133
57 165
57 165
57 165
57 165
57 165
57 165
57 165
57 133
65 198
57 165
57 166
65 166
57 197
57 166
57 165
65 166
57 133
65 133
65 167
65 166
65 166
65 166
57 166
57 166
57 166
65 166
57 166
65 199
65 134
73 166
65 166
65 198
65 198
65 198
65 199
65 198
65 199
65 199
65 166
73 166
73 167
73 167
73 167
65 166
73 199
65 198
65 199
65 198
65 198
73 198
65 199
65 231
65 199
65 199
65 199
65 231
65 198
73 166
73 198
65 198
65 198
65 198
73 198
73 198
73 198
73 199
73 167
73 198
65 198
