last fall found
rise found
ball is located in between: 280 and 61
angle is 170
rise found
ball is located in between: 280 and 58
angle is 169
NEW_IMAGE:
57 78
57 78
57 79
57 79
57 46
57 78
65 79
57 47
65 79
65 79
65 79
57 79
65 80
57 111
57 111
57 143
65 144
57 112
65 144
65 111
57 111
65 143
65 143
73 112
73 79
73 143
73 112
73 112
73 144
65 176
73 145
73 145
73 145
73 145
73 176
73 177
73 176
73 177
73 177
73 145
73 177
73 177
73 177
81 145
81 146
81 178
81 178
81 178
81 178
81 179
81 179
81 179
81 178
81 178
81 178
81 178
81 178
81 178
81 178
81 210
89 210
89 178
89 210
89 210
89 210
89 242
89 209
89 242
81 242
81 243
90 18
89 243
97 211
97 244
89 211
89 244
89 243
89 243
97 243
89 212
98 20
89 244
98 21
97 245
97 244
105 244
105 244
105 244
105 244
105 244
106 21
106 21
105 244
97 244
106 20
105 244
106 20
105 244
106 20
106 21
106 21
106 20
106 21
98 21
98 53
106 21
106 20
106 21
106 53
106 52
106 20
106 52
106 85
98 53
98 85
106 85
106 85
106 85
114 53
114 53
114 53
114 85
114 20
114 53
114 53
114 53
114 53
114 53
114 53
114 53
114 53
114 53
114 53
114 53
122 86
114 53
114 53
114 53
114 85
114 85
114 85
114 85
114 85
114 85
114 85
114 85
114 53
114 86
114 85
106 85
114 85
114 117
114 117
114 117
114 85
114 117
114 117
114 117
114 117
122 117
114 117
114 117
114 117
122 118
114 117
114 118
114 118
114 118
114 118
122 118
114 118
114 149
114 117
122 150
122 118
122 119
122 118
122 118
122 118
122 117
122 118
122 118
122 118
122 118
122 118
122 150
122 118
122 118
130 119
122 119
130 119
130 119
122 86
130 119
122 150
130 119
130 150
130 119
130 119
130 119
130 119
122 118
130 150
122 150
122 182
122 118
130 182
130 150
130 119
130 119
122 119
114 150
122 182
122 118
113 244
105 208
105 110
113 175
105 77
89 75
81 106
89 43
97 11
89 9
88 233
88 233
96 201
88 201
88 200
96 233
96 200
96 168
96 200
96 167
96 199
96 199
96 198
88 198
88 198
88 199
88 199
88 198
88 198
88 198
88 198
88 166
96 166
96 166
88 166
96 198
88 166
88 166
88 199
96 167
96 135
96 134
88 198
96 198
96 198
96 198
96 198
88 166
88 198
88 198
96 199
88 199
89 8
80 198
88 230
88 230
88 231
96 199
96 199
96 199
96 199
96 200
96 231
96 200
104 232
104 200
104 232
104 232
104 232
96 233
96 233
104 233
104 201
104 234
105 10
105 74
97 73
105 74
105 44
113 46
121 79
121 111
121 145
105 208
98 49
122 181
138 182
138 215
130 214
130 214
138 246
147 23
138 247
138 247
146 248
138 215
138 247
138 214
146 214
146 247
146 247
146 247
146 247
147 23
147 23
146 247
154 247
155 56
139 56
138 247
138 247
147 24
147 24
147 24
147 24
147 24
146 248
146 247
146 247
146 248
146 248
146 248
147 24
139 24
139 23
139 23
147 23
147 23
146 247
147 23
138 247
138 247
138 247
138 183
146 215
146 215
146 215
146 248
146 216
138 215
138 247
147 24
147 24
146 215
146 215
146 215
146 247
146 248
138 247
138 247
138 247
138 246
138 247
138 215
138 246
138 247
130 182
130 150
130 181
130 180
122 148
114 115
122 83
122 83
122 83
114 50
114 83
114 115
122 83
114 51
122 83
114 50
114 50
114 50
106 50
106 18
114 50
114 18
122 18
122 50
114 17
114 17
114 17
114 17
114 17
113 241
114 49
114 82
106 49
106 49
106 49
114 17
114 17
114 17
106 17
114 17
114 49
114 17
106 17
106 49
106 49
106 49
106 49
114 17
114 17
114 17
114 17
114 48
114 16
114 17
105 241
106 17
114 17
113 241
106 16
114 49
106 49
106 17
106 49
114 82
106 49
106 49
106 17
114 17
122 50
113 241
105 177
105 242
106 49
106 82
106 113
106 81
114 82
114 50
106 49
106 17
114 17
114 17
114 17
122 18
122 18
114 18
114 51
114 18
106 18
106 49
114 50
113 241
122 18
114 50
106 82
106 50
106 50
106 50
114 50
114 50
114 18
114 18
114 50
106 17
106 49
114 113
106 48
106 82
106 50
106 50
114 50
106 17
106 18
114 50
114 17
106 49
106 49
106 81
98 48
106 80
106 49
106 49
106 49
106 50
98 49
98 50
98 49
106 50
106 18
98 17
98 49
106 50
106 17
106 17
106 17
106 17
106 16
106 16
106 17
106 17
105 240
98 17
106 49
106 17
106 17
106 17
105 241
105 242
106 18
105 241
105 241
105 241
98 17
98 17
98 49
97 240
98 17
105 241
105 241
105 209
105 241
97 241
90 16
89 240
97 240
97 240
98 16
98 17
90 16
97 241
97 240
97 240
97 241
97 240
97 240
97 240
97 240
97 208
97 208
97 208
97 208
97 176
105 209
97 208
97 207
97 207
97 207
97 176
97 207
89 208
89 239
89 239
89 207
89 207
89 206
89 207
89 239
81 207
81 239
89 175
89 175
89 175
89 207
89 207
81 206
81 206
81 206
81 206
89 206
81 174
81 174
81 174
81 174
81 174
81 174
81 142
81 142
81 174
81 142
81 142
89 110
81 142
81 141
81 141
73 141
73 141
73 141
81 141
81 109
73 77
73 109
73 142
73 109
73 109
73 141
73 108
65 108
65 140
65 139
73 108
73 108
65 108
65 76
65 108
73 76
73 76
65 108
65 76
73 76
65 108
57 139
57 75
57 107
57 75
57 75
57 43
65 75
57 43
57 75
57 75
57 74
57 42
57 42
57 42
57 10
57 11
57 42
57 10
57 10
57 9
END_IMAGE:
ball ball found
