last fall found
last fall found
last fall found
last fall found
rise found
ball is located in between: 435 and 2
angle is 218
rise found
ball is located in between: 435 and -2
angle is 216
rise found
ball is located in between: 435 and -5
angle is 215
rise found
ball is located in between: 435 and -7
angle is 214
NEW_IMAGE:
65 113
73 113
73 114
65 113
73 177
73 177
81 145
81 145
81 146
81 146
81 177
81 177
81 177
81 177
73 177
81 178
81 178
81 177
81 210
73 209
73 241
73 209
81 177
81 178
89 178
89 179
89 179
89 210
89 210
81 210
89 210
89 210
89 211
89 179
89 211
89 211
97 211
89 211
89 211
97 211
89 242
89 243
97 243
97 211
105 212
105 212
105 244
97 243
97 243
106 20
98 19
98 20
98 20
97 244
97 245
106 21
105 245
98 20
98 20
106 20
106 20
98 20
106 20
106 52
106 20
106 52
106 52
106 52
106 52
106 52
106 52
106 52
106 52
106 52
106 52
106 84
106 84
106 84
106 53
114 53
114 86
114 85
114 85
114 86
122 86
122 118
122 86
122 87
122 87
122 87
122 86
122 87
122 87
122 86
114 118
114 119
122 119
122 119
122 119
122 87
122 86
122 118
114 117
114 118
122 150
122 150
122 118
122 118
122 86
122 86
122 118
122 118
122 118
122 118
122 118
122 86
122 118
122 118
122 118
122 118
122 118
122 150
122 118
122 119
122 119
122 118
122 118
122 118
130 119
130 119
130 119
130 118
130 118
122 119
122 119
122 118
122 150
122 181
122 150
122 118
122 118
122 119
122 118
122 118
122 86
122 87
130 151
122 118
122 150
122 118
122 117
138 217
114 118
89 16
80 108
72 70
80 6
72 37
72 36
72 68
80 4
72 3
80 36
80 4
80 4
72 4
72 4
72 4
72 4
72 3
72 3
72 3
72 3
72 3
72 3
72 35
80 2
80 2
80 2
80 2
80 3
80 3
80 3
80 3
80 3
80 3
88 3
88 4
80 3
80 3
80 3
80 3
80 3
88 3
88 3
88 3
88 3
88 3
96 3
88 3
88 3
96 4
96 4
96 4
96 4
96 4
96 4
96 3
96 4
96 3
96 3
96 4
96 3
96 4
88 3
88 4
88 3
88 3
96 4
96 4
96 4
96 4
96 4
96 4
96 4
96 4
88 4
96 4
104 4
96 4
104 4
104 4
104 4
104 3
96 3
96 3
96 3
96 3
96 3
104 4
104 4
104 4
104 4
104 3
104 3
112 4
104 4
104 3
104 4
104 4
104 4
104 4
104 4
104 4
104 4
104 4
104 4
112 4
112 4
112 4
112 4
112 4
112 4
112 4
112 4
112 4
112 4
104 4
112 4
104 3
112 4
112 4
112 4
112 4
112 4
112 4
112 4
112 4
112 4
112 4
120 4
112 4
112 4
112 4
112 4
112 4
112 4
120 5
112 5
112 5
112 5
112 5
112 4
104 4
104 4
104 4
104 4
104 4
104 4
104 4
104 4
112 4
120 5
120 5
112 4
112 5
104 5
104 4
104 5
104 36
104 37
104 69
96 101
96 101
96 101
96 102
96 102
96 133
88 106
80 76
97 15
138 119
155 88
163 121
155 56
155 25
155 24
155 57
163 89
155 89
155 57
155 57
163 57
163 57
163 89
155 88
155 56
163 122
163 89
155 89
155 121
155 121
147 88
155 121
155 121
155 89
155 121
155 121
163 121
155 89
155 89
155 89
155 89
155 120
155 120
155 120
155 120
155 120
163 121
163 121
163 121
155 120
155 121
155 89
163 89
163 89
163 89
163 89
163 89
163 89
155 89
155 56
163 57
163 57
163 57
155 56
155 120
155 120
163 120
163 88
155 88
155 120
155 120
163 88
163 88
163 88
155 89
163 89
155 88
163 120
155 120
163 89
163 121
163 88
163 88
163 88
155 120
155 88
155 88
155 88
155 88
155 56
163 89
163 57
163 57
171 90
163 57
163 57
163 89
163 57
163 89
155 55
155 56
155 24
155 24
155 56
154 216
154 249
155 25
163 57
163 57
155 57
163 57
155 57
155 25
155 25
154 249
163 25
163 57
155 88
147 88
147 56
155 88
147 56
147 56
155 56
147 24
155 24
147 24
147 24
147 24
147 24
139 23
147 23
147 23
147 56
155 88
155 56
147 56
147 55
147 55
147 55
147 55
147 88
147 87
147 88
147 88
155 88
147 56
155 24
155 24
155 24
155 56
147 56
147 88
155 56
155 56
155 57
155 56
163 24
154 246
147 53
138 245
130 180
130 212
130 212
130 148
130 149
130 117
130 117
130 148
122 116
122 83
122 83
122 115
114 82
122 115
122 116
130 115
122 147
122 115
122 114
114 146
114 146
114 114
122 82
122 82
122 82
122 82
122 50
122 51
114 18
114 50
114 18
114 82
106 49
106 82
106 49
106 81
114 50
114 50
114 18
114 18
113 242
114 18
113 241
114 50
114 17
114 49
114 17
114 17
114 17
114 17
114 49
114 49
106 49
106 16
106 16
106 16
106 17
114 17
106 17
106 17
105 241
105 241
105 241
114 17
114 16
113 241
113 242
106 17
105 241
106 17
114 17
105 241
106 17
105 240
106 17
106 16
106 16
106 16
106 17
106 49
98 49
98 48
98 16
106 17
105 241
106 17
106 17
98 17
98 16
98 16
98 16
98 16
106 16
106 16
105 241
105 241
105 241
98 17
98 16
98 49
98 17
98 48
98 16
106 16
98 16
98 16
98 16
98 16
98 16
89 240
98 16
97 240
97 240
105 209
97 209
97 241
97 241
98 17
89 240
89 240
89 208
89 239
89 240
89 240
89 209
97 208
97 240
97 208
97 208
97 208
97 208
97 208
97 240
97 240
97 207
97 240
97 208
97 209
97 209
97 208
97 208
89 208
97 208
97 208
97 208
97 176
89 208
89 240
89 239
81 239
89 239
89 239
89 239
89 240
89 207
89 208
89 208
89 208
89 208
89 208
89 208
81 175
81 207
81 239
89 239
89 239
89 208
END_IMAGE:
ball ball found
