Nb images:,5
Size:,640
posX,Image 1,,,,,,,,,,Image 2,,,,,,,,,,Image 3,,,,,,,,,,Image 4,,,,,,,,,,Image 5,,,,,,,,,,
,Pattern,Red,Green,Blue,Rate Red,Rate Blue,Rate Green,Hue,Saturation,Value,Pattern,Red,Green,Blue,Rate Red,Rate Blue,Rate Green,Hue,Saturation,Value,Pattern,Red,Green,Blue,Rate Red,Rate Blue,Rate Green,Hue,Saturation,Value,Pattern,Red,Green,Blue,Rate Red,Rate Blue,Rate Green,Hue,Saturation,Value,Pattern,Red,Green,Blue,Rate Red,Rate Blue,Rate Green,Hue,Saturation,Value,
0,20777,10,9,9,0.322581,0.142857,0.290323,0.863248,0.557143,0.322581,16746,8,11,10,0.258065,0.174603,0.322581,0.760669,0.458730,0.322581,16715,8,10,11,0.258065,0.158730,0.354839,0.751088,0.552670,0.354839,18792,9,11,8,0.290323,0.174603,0.258065,0.879794,0.398589,0.290323,12489,6,6,9,0.193548,0.095238,0.290323,0.750656,0.671958,0.290323,
1,22890,11,11,10,0.354839,0.174603,0.322581,0.863163,0.507937,0.354839,16714,8,10,10,0.258065,0.158730,0.322581,0.767708,0.507937,0.322581,16715,8,10,11,0.258065,0.158730,0.354839,0.751088,0.552670,0.354839,20841,10,11,9,0.322581,0.174603,0.290323,0.869666,0.458730,0.322581,12489,6,6,9,0.193548,0.095238,0.290323,0.750656,0.671958,0.290323,
2,22923,11,12,11,0.354839,0.190476,0.354839,0.833333,0.463203,0.354839,16715,8,10,11,0.258065,0.158730,0.354839,0.751088,0.552670,0.354839,16748,8,11,12,0.258065,0.174603,0.387097,0.732129,0.548942,0.387097,22889,11,11,9,0.354839,0.174603,0.290323,0.892992,0.507937,0.354839,10473,5,7,9,0.161290,0.111111,0.290323,0.713333,0.617284,0.290323,
3,22891,11,11,11,0.354839,0.174603,0.354839,0.833333,0.507937,0.354839,18764,9,10,12,0.290323,0.158730,0.387097,0.762706,0.589947,0.387097,16748,8,11,12,0.258065,0.174603,0.387097,0.732129,0.548942,0.387097,22921,11,12,9,0.354839,0.190476,0.290323,0.898754,0.463203,0.354839,10505,5,8,9,0.161290,0.126984,0.290323,0.701672,0.562610,0.290323,
4,22923,11,12,11,0.354839,0.190476,0.354839,0.833333,0.463203,0.354839,16715,8,10,11,0.258065,0.158730,0.354839,0.751088,0.552670,0.354839,14699,7,11,11,0.225806,0.174603,0.354839,0.714015,0.507937,0.354839,22921,11,12,9,0.354839,0.190476,0.290323,0.898754,0.463203,0.354839,10505,5,8,9,0.161290,0.126984,0.290323,0.701672,0.562610,0.290323,
5,22923,11,12,11,0.354839,0.190476,0.354839,0.833333,0.463203,0.354839,16746,8,11,10,0.258065,0.174603,0.322581,0.760669,0.458730,0.322581,14699,7,11,11,0.225806,0.174603,0.354839,0.714015,0.507937,0.354839,22889,11,11,9,0.354839,0.174603,0.290323,0.892992,0.507937,0.354839,10505,5,8,9,0.161290,0.126984,0.290323,0.701672,0.562610,0.290323,
6,20907,10,13,11,0.322581,0.206349,0.354839,0.797126,0.418470,0.354839,16747,8,11,11,0.258065,0.174603,0.354839,0.743845,0.507937,0.354839,16779,8,12,11,0.258065,0.190476,0.354839,0.735202,0.463203,0.354839,24937,12,11,9,0.387097,0.174603,0.290323,0.909237,0.548942,0.387097,12553,6,8,9,0.193548,0.126984,0.290323,0.734587,0.562610,0.290323,
7,22923,11,12,11,0.354839,0.190476,0.354839,0.833333,0.463203,0.354839,18795,9,11,11,0.290323,0.174603,0.354839,0.773674,0.507937,0.354839,16779,8,12,11,0.258065,0.190476,0.354839,0.735202,0.463203,0.354839,24937,12,11,9,0.387097,0.174603,0.290323,0.909237,0.548942,0.387097,12522,6,7,10,0.193548,0.111111,0.322581,0.731638,0.655556,0.322581,
8,22923,11,12,11,0.354839,0.190476,0.354839,0.833333,0.463203,0.354839,16746,8,11,10,0.258065,0.174603,0.322581,0.760669,0.458730,0.322581,16745,8,11,9,0.258065,0.174603,0.290323,0.786873,0.398589,0.290323,24937,12,11,9,0.387097,0.174603,0.290323,0.909237,0.548942,0.387097,14570,7,7,10,0.225806,0.111111,0.322581,0.757062,0.655556,0.322581,
9,22923,11,12,11,0.354839,0.190476,0.354839,0.833333,0.463203,0.354839,16747,8,11,11,0.258065,0.174603,0.354839,0.743845,0.507937,0.354839,16746,8,11,10,0.258065,0.174603,0.322581,0.760669,0.458730,0.322581,22921,11,12,9,0.354839,0.190476,0.290323,0.898754,0.463203,0.354839,14570,7,7,10,0.225806,0.111111,0.322581,0.757062,0.655556,0.322581,
10,22923,11,12,11,0.354839,0.190476,0.354839,0.833333,0.463203,0.354839,18795,9,11,11,0.290323,0.174603,0.354839,0.773674,0.507937,0.354839,18762,9,10,10,0.290323,0.158730,0.322581,0.800521,0.507937,0.322581,24969,12,12,9,0.387097,0.190476,0.290323,0.915365,0.507937,0.387097,14570,7,7,10,0.225806,0.111111,0.322581,0.757062,0.655556,0.322581,
11,22891,11,11,11,0.354839,0.174603,0.354839,0.833333,0.507937,0.354839,18763,9,10,11,0.290323,0.158730,0.354839,0.778503,0.552670,0.354839,18763,9,10,11,0.290323,0.158730,0.354839,0.778503,0.552670,0.354839,22922,11,12,10,0.354839,0.190476,0.322581,0.866044,0.463203,0.354839,12554,6,8,10,0.193548,0.126984,0.322581,0.723386,0.606349,0.322581,
